id,is_iceberg
5941774d,4.2983156959053304e-05
4023181e,0.03997881912315885
b20200e4,0.0038585836300626397
e7f018bb,0.9951702356338501
4371c8c3,0.10519194176110129
a8d9b1fd,0.037752674892544746
29e7727e,0.0024961500016236946
92a51ffb,0.9919272462526957
c769ac97,0.0028453548826898136
aee0547d,5.975363659387982e-06
565b28ac,6.600938001315633e-06
e04e9775,0.037505170019964375
8e8161d1,7.363887088255675e-07
4cf4d256,0.4213711644212405
139e5324,0.03171194655199846
f156976f,0.0002254945013125583
68a117cc,0.059894044029836856
d9aa7a56,0.05237664065013329
9005b143,0.0037357616917385408
5f6d3988,0.9999993244806925
9ad70954,0.04116714093834162
b9087b9e,0.9440275033315023
a39a1427,0.02921448601409793
82fbe8ed,0.000568222965759387
1fae4879,0.002479584033911427
6dd8f13d,0.026335322647355497
bbad5958,0.11232027659813563
54527583,0.019369189714780077
be8fa29c,0.13550165217990676
81a3328f,0.997779130935669
1a3c0ab3,0.011519057695598653
4deeeb8b,0.1438734413435062
ac6d5632,0.1172158494591713
472dadb5,0.23039916654427847
96093f95,0.9748693307240804
f5b4e3df,0.9978087544441223
e01a3c92,0.020109960188468296
001680af,0.14214411300296584
8e639f33,0.002365841771459524
a2c16612,0.9615375796953837
a6d76474,0.014999660352865854
19c47684,0.020522290530304115
015827b6,0.09350232826545835
7df7f7ce,0.043857025525843106
0bbf1a3f,0.18689553330962858
636cfbb7,0.22482303778330484
7370030a,0.9192395011583964
43aa97ad,0.025733642202491563
ba2b5e63,0.9603454271952311
dfdd335b,0.1732345831890901
e79b13dc,0.07641896931454539
dc32b195,0.1768497711357971
6d868590,0.9845811327298483
75fa59aa,0.005582420465846856
ffe50836,0.03350685796855638
a7bfd784,0.9964170654614767
b3d569e3,0.0032124760402597965
6c538c5b,0.00015462455357824942
5c7c15f4,0.002483242346594731
0b745139,0.026879533504446346
fd14608e,0.03229580171622123
f0bc8305,0.05362482803563277
a10ccb28,0.9964823524157206
543304c7,0.22031061708306274
6c3a4078,0.0008612763156937339
9b73cc75,0.0977172019581
